City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,mangrol,21.1167,70.1167,26.9,85,100,11.0,IN,1724698723
121,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,0,5.0,RU,1724698724
122,fada,7.25,4.0667,26.37,83,75,3.6,NG,1724698726
123,malango,-2.9627,119.9001,18.13,99,100,0.87,ID,1724698727
124,ushuaia,-54.8,-68.3,7.81,71,20,1.03,AR,1724698058
125,bethel,41.3712,-73.414,29.78,57,40,3.09,US,1724698720
126,bamboo flat,11.7,92.7167,27.05,94,100,1.03,IN,1724698303
127,tofol,5.3248,163.0078,28.13,73,100,0.71,FM,1724698731
128,avarua,-21.2078,-159.775,23.03,64,75,9.77,CK,1724698733
129,uturoa,-16.7333,-151.4333,23.68,70,100,10.39,PF,1724698734
130,margaret river,-33.95,115.0667,15.25,94,100,7.3,AU,1724698735
131,nar'yan-mar,67.6713,53.087,12.63,93,0,3.14,RU,1724698280
132,lamar,33.6668,-95.5836,35.5,39,0,4.12,US,1724698737
133,talnakh,69.4865,88.3972,13.26,74,79,2.29,RU,1724698233
134,moses lake,47.1301,-119.2781,22.38,26,89,3.52,US,1724698739
135,flin flon,54.7682,-101.865,16.91,51,40,3.09,CA,1724698741
136,st. john's,47.5649,-52.7093,27.66,47,75,5.66,CA,1724698349
137,amahai,-3.3333,128.9167,24.63,89,44,0.96,ID,1724698743
138,extrema,-22.8547,-46.3183,18.54,31,0,2.75,BR,1724698654
139,sinop,41.7711,34.8709,17.63,91,100,1.59,TR,1724698745
140,hadibu,12.65,54.0333,26.65,78,100,7.05,YE,1724698746
141,longyearbyen,78.2186,15.6401,7.91,87,75,0.0,SJ,1724698747
142,castlegar,49.2998,-117.6689,21.38,42,98,2.25,CA,1724698508
143,jamestown,42.097,-79.2353,29.45,40,75,2.06,US,1724698749
144,metlili chaamba,32.2667,3.6333,36.52,20,40,2.57,DZ,1724698751
145,mumford,5.2618,-0.759,23.42,93,68,6.26,GH,1724698752
146,yelets,52.6237,38.5017,22.06,47,0,3.42,RU,1724698754
147,gazli,40.1333,63.45,26.61,15,7,5.04,UZ,1724698485
148,punta arenas,-53.15,-70.9167,6.73,87,100,8.75,CL,1724698756
149,floro,61.5996,5.0328,12.98,71,75,6.17,NO,1724698757
150,tolanaro,-25.0319,46.9987,21.04,83,0,12.86,MG,1724698291
151,virginia,37.5481,-77.4467,34.5,49,20,4.12,US,1724698761
152,azna,33.6095,48.9307,27.48,22,8,1.53,IR,1724698762
153,khash,28.2211,61.2158,26.71,12,0,2.11,IR,1724698763
154,vila franca do campo,37.7167,-25.4333,26.23,82,100,4.06,PT,1724698764
155,nuuk,64.1835,-51.7216,6.6,81,35,2.82,GL,1724698765
156,ciudad lazaro cardenas,17.9583,-102.2,30.82,66,10,3.34,MX,1724698767
157,grajau,-5.8194,-46.1386,37.96,18,73,2.13,BR,1724698768
158,den chai,17.9837,100.0522,23.44,99,100,1.47,TH,1724698769
159,tarawa,1.419,172.984,28.05,83,40,2.06,KI,1724698435
160,northam,51.0333,-4.2167,17.56,84,100,3.98,GB,1724698771
161,udachny,66.4167,112.4,10.32,68,100,1.49,RU,1724698773
162,bensekrane,35.0747,-1.2243,26.99,65,0,2.49,DZ,1724698775
163,luderitz,-26.6481,15.1594,14.0,75,0,5.21,NA,1724698776
164,santa vitoria,-18.8386,-50.1214,26.51,22,2,3.85,BR,1724698777
